,name,price,os,graphics,display,ram,rom,warranty,rating,core,intel_core
0,HP Victus 15-fb0157AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹52,000",Windows 11 OS,4 GB AMD Radeon RX 6500M,"15.6 inches, 1920 x 1080 pixels, Touch Screen",8 GB DDR4 RAM,512 GB SSD,1 Year Warranty,73,"Hexa Core, 12 Threads",5th Gen AMD Ryzen 5 5600H
1,HP 15s-fq5007TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹37,990",Windows 11 OS,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,512 GB SSD,1 Year Warranty,60,"Hexa Core (2P + 4E), 8 Threads",12th Gen Intel Core i3 1215U
2,Lenovo Yoga Slim 6 14IAP8 82WU0095IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹59,990",Windows 11 OS,Intel Integrated Iris Xe,"14 inches, 2240 x 1400 pixels",16 GB LPDDR5 RAM,512 GB SSD,1 Year Warranty,66,"12 Cores (4P + 8E), 16 Threads",12th Gen Intel Core i5 1240P
3,Lenovo IdeaPad Gaming 3 15IHU6 82K101GSIN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹55,990",Windows 11 OS,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,512 GB SSD,1 Year Warranty,71,"Quad Core, 8 Threads",11th Gen Intel Core i5 11300H
4,Acer Aspire Lite AL15-51 2023 Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹39,790",Windows 11 OS,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,512 GB SSD,1 Year Warranty,64,"Quad Core, 8 Threads",11th Gen Intel Core i5 1155G7
5,HP 15s-fq2510tu Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹49,590",Windows 11 OS,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,512 GB SSD,1 Year Warranty,64,"Quad Core, 8 Threads",11th Gen Intel Core i5 1135G7 
6,Dell Inspiron 3520 D560896WIN9B Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹37,490",Windows 11 OS,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,512 GB SSD,1 Year Warranty,60,"Hexa Core (2P + 4E), 8 Threads",12th Gen Intel Core i3 1215U
7,Acer One 14 Z8-415 Laptop (11th Gen Core i3 / 8GB/ 512GB SSD/ Win11 Home),"₹26,990",Windows 11 OS,‎Intel Iris Xe Graphics,"14 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,512 GB SSD,1 Year Warranty,,"Dual Core, 4 Threads",11th Gen Intel Core i3 1115G4
8,Apple MacBook Air 2020 MGND3HN Laptop (Apple M1/ 8GB/ 256GB SSD/ MacOS),"₹75,999",Mac OS,Apple M1 Integrated Graphics,"13.3 inches, 2560 x 1600 pixels",8 GB DDR4 RAM,256 GB SSD,1 Year Warranty,,Octa Core (4P + 4E),Apple M1
9,Wings Nuvobook V1 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹29,990",Windows 11 OS,Intel Graphics,"15.6 inches, 1080 x 1920 pixels",8 GB DDR4 RAM,512 GB SSD,1 Year Warranty,,"Quad Core, 8 Threads",11th Gen Intel Core i5 1135G7
10,Asus TUF Gaming F15 2022 FX507ZC4-HN116W Gaming Laptop (12th Gen Core i5/ 16GB/512GB SSD/ Win11 / 4GB Graph),"₹85,800",Windows 11 OS,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,512 GB SSD,1 Year Warranty,76,"12 Cores (4P + 8E), 16 Threads",12th Gen Intel Core i5 12500H
